2023-11-25 18:26:44,25.34,44.89
2023-11-25 18:26:50,25.35,44.83
2023-11-25 18:27:11,25.28,44.91
2023-11-25 18:27:17,25.31,44.84
2023-11-25 18:27:23,25.32,44.71
2023-11-25 18:27:29,25.33,44.75
2023-11-25 18:27:35,25.33,44.77
2023-11-25 18:27:41,25.34,44.79
2023-11-25 18:27:47,25.35,44.63
2023-11-25 18:27:53,25.36,44.67
2023-11-25 18:27:59,25.37,44.68
2023-11-25 18:28:05,25.37,44.69
2023-11-25 18:28:11,25.37,44.71
2023-11-25 18:28:17,25.37,44.64
2023-11-25 18:28:23,25.38,44.65
2023-11-25 18:28:29,25.38,44.61
2023-11-25 18:28:35,25.38,44.90
2023-11-25 18:28:41,25.38,45.03
2023-11-25 18:28:47,25.38,45.08
2023-11-25 18:28:53,25.39,45.03
2023-11-25 18:28:59,25.39,45.07
2023-11-25 18:29:05,25.39,44.97
2023-11-25 18:29:11,25.39,45.08
2023-11-25 18:29:17,25.39,45.21
2023-11-25 18:29:23,25.39,45.26
2023-11-25 18:29:29,25.39,45.27
2023-11-25 18:29:35,25.39,45.16
2023-11-25 18:29:41,25.39,45.03
2023-11-25 18:29:47,25.39,44.99
2023-11-25 18:29:53,25.39,44.90
2023-11-25 18:29:59,25.39,44.94
2023-11-25 18:30:05,25.39,44.93
2023-11-25 18:30:11,25.39,44.88
2023-11-25 18:30:17,25.39,44.85
2023-11-25 18:30:23,25.39,44.85
2023-11-25 18:30:29,25.39,44.91
